# Grading cases: a session, the example block day it is graded as, the
# letter the block's legend gives it, and the measured share that letter
# rests on. Shares are against the example athlete's declared grading
# anchor (easyCap, 150 bpm) — the number the app computes, cross-checked
# against tools/grade_metrics.py.
#
# The failing sessions are real recordings, sanitized by tools/sanitizefit:
# every position fixed by GPS, every device serial, the user profile and
# the laps are gone, and what remains is heart rate, cadence, speed, power
# and the clock. The passing one is generated by tools/synthfit, because
# "held under the cap for the whole prescribed distance" is what an athlete
# works toward rather than what a history holds, and a control has to be
# unambiguous.
#
# Two are deliberately on a boundary: 0.6020 sits on the B floor and 0.1917
# just under D's. Read them as the tightest part of the rubric.
#
# fixture	date	letter	share	what it is
2026-01-10-06-00-00.fit	2026-01-10	A	1.0000	generated: 13 km held at 136-146 bpm, every minute under the cap
2026-01-10-07-00-00.fit	2026-01-10	B	0.6020	real: 12.19 km, avg 146.6 — on the B floor
2026-01-10-08-00-00.fit	2026-01-10	C	0.5774	real: 12.60 km, avg 145.5
2026-01-10-09-00-00.fit	2026-01-10	C	0.4442	real: 12.08 km, avg 143.4
2026-01-10-10-00-00.fit	2026-01-10	D	0.3225	real: 11.28 km, avg 159.8
2026-01-10-11-00-00.fit	2026-01-10	F	0.1917	real: 12.96 km, avg 163.1 — just under the D floor
2026-01-10-12-00-00.fit	2026-01-10	F	0.0409	real: 12.92 km, avg 171.7
2026-01-17-07-00-00.fit	2026-01-17	F	0.0228	real: 13.96 km, avg 175.9 — a long run run hard throughout
2026-01-07-07-00-00.fit	2026-01-07	D	0.2226	real: 8.10 km against an 8 km easy day, avg 158.0
